city,sp21,fa21,fa22,sp23,fa23,sp24,fa24,city_abbr
Atlanta--Athens-ClarkeCounty--SandySprings_GA-AL,2.1284264568418525,-0.13616395401503212,-0.16799590183278923,-0.5311254324594348,-0.6668680397457489,0.11995748083072577,0.5602673519250168,atl
Boston-Worcester-Providence_MA-RI-NH,0.06830658589298544,-0.1637530886469154,-0.308949536784052,-0.6736778397980228,-0.4965410564360475,-0.13151717854938205,0.15334814269796482,bos
Chicago-Naperville_IL-IN-WI,0.676382137801486,-0.34592268590034436,-0.37621553912656047,-0.594101181248174,-0.5654578807701949,-0.18057559600674367,0.3911562015814525,chi
Cleveland-Akron-Canton_OH,0.8091368246323665,-0.10663317491667357,-0.11361092618455793,-0.5126473168833297,-0.38389327054321853,0.17920910239061882,0.4203607143224293,clv
Dallas-FortWorth_TX-OK,2.250624479122221,-0.05512472404817892,-0.014689558054753249,-0.48363333479226256,-0.9368140425418439,-0.09905843699405459,0.5250185791806352,dal
Detroit-Warren-AnnArbor_MI,0.7933244838981306,-0.3545880209372285,-0.23961320854492563,-0.6045122413164243,-0.3797262120164593,0.12148105169908341,0.41295826642074296,dtr
Houston-Pasadena_TX,2.0313794589417817,-0.08175785751025977,-0.1118819331175942,-0.48331588229077127,-0.9931629486605189,-0.07343380766132057,0.49756446877134763,hou
LosAngeles-LongBeach_CA,1.1384975209571806,-0.3994235999620699,-0.4588812964539688,-0.1711862452721764,-0.6021987777169606,0.4056028325085421,1.077495359848756,la
NewYork-Newark_NY-NJ-CT-PA,0.3418776884893031,-0.5226203190661405,-0.5375625713801631,-0.5474079877519031,-0.6481073508265158,0.14131160682547161,0.31795607966522077,ny
Orlando-Lakeland-Deltona_FL,2.319252332313045,0.08696581749710397,0.17800644861938508,-0.1964563871582552,-0.7689664539249321,0.0397488994459021,0.5385761068365493,orl
Philadelphia-Reading-Camden_PA-NJ-DE-MD,0.7524263581126363,-0.31020706667966635,-0.2314969627141128,-0.5220442672697327,-0.48160193938483964,0.1809411866395525,0.4177845876884074,phi
Phoenix-Mesa_AZ,1.6570065585580682,-0.46008870241129607,-0.13478920795347982,-0.7187308316122376,-1.0599672211164464,-0.06444081866868245,0.4769585718873497,pnx
Sacramento-Roseville_CA,2.188497876635889,-0.13681857272437092,-0.15447906638868858,0.032884415377893106,-0.5258194808279537,0.7305749930113876,1.363143716555772,sac
SanJose-SanFrancisco-Oakland_CA,1.523783161321397,-0.23535252330400702,-0.24913588915049445,0.44648159296608014,-0.1256473252842376,1.3105004001406613,1.930378288925139,sf
StLouis-StCharles-Farmington_MO-IL,0.18202643602932866,-0.46074924299522024,-0.027507520268903463,-0.51490717716079,-0.44517090708221474,0.10282279198948352,0.3817694000493628,stl
